timestamps,Chiasso_610 02 06_NO,Chiasso_610 02 06_NO2,Chiasso_610 02 06_NOx,Chiasso_610 02 06_O3,Chiasso_610 02 06_PM10,Chiasso_610 02 06_PM2.5,Stabio_626 01 01_NO2,Stabio_626 01 01_O3,Stabio_16_Gl,Mendrisio_27_P,Stabio_16_P,Mendrisio_27_Prec,Stabio_16_Prec,Mendrisio_27_RH,Stabio_16_RH,Mendrisio_27_T,Stabio_16_T_2m,Stabio_16_T_5cm,Mendrisio_27_Tdew,Stabio_16_Tdew,Mendrisio_27_WDvect,Stabio_16_WDvect,Mendrisio_27_WSgust,Stabio_16_WSgust,Mendrisio_27_WSvect,Stabio_16_WSvect,Chiasso_auto_283_P,Chiasso_auto_283_Prec,Sagno_auto_381_Prec,Chiasso_auto_283_RH,Sagno_auto_381_RH,Chiasso_auto_283_T,Sagno_auto_381_T_mhstaz,Sagno_auto_381_T_mhstaz,Chiasso_auto_283_WD,Sagno_auto_381_WD,Chiasso_auto_283_WS,Sagno_auto_381_WS,Chiasso_auto_283_WSgust,Sagno_auto_381_WSgust,Sagno_auto_381_P,Chiasso_610 02 06_T
2015-01-01 00:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2015-01-01 00:30:00,13.0,46.5,35.0,3.0,83.0,nan,nan,nan,0.0,847.35,992.15,0.0,0.0,72.2,88.7,-6.8,-4.15,-7.35,-10.95,-5.7,232.0,248.5,3.5,1.55,1.05,1.0,1004.15,0.0,0.0,70.5,84.45,-1.45,-4.3,nan,273.5,26.5,1.05,0.65,2.35,0.8,950.15,nan
2015-01-01 01:00:00,13.5,46.5,35.5,3.0,104.0,nan,nan,nan,0.0,847.2,992.05,0.0,0.0,69.35,92.95,-6.15,-4.85,-7.5,-10.85,-5.85,302.0,240.5,4.0,2.1,1.7,0.9,1004.0,0.0,0.0,72.15,83.45,-1.7,-4.15,nan,259.5,86.0,1.1,0.6,2.45,0.75,949.95,nan
2015-01-01 01:30:00,13.5,45.5,35.0,2.5,102.5,nan,nan,nan,0.0,847.35,992.2,0.0,0.0,75.3,89.45,-6.8,-4.65,-7.35,-10.45,-6.1,319.5,251.5,5.4,1.65,3.15,0.75,1004.1,0.0,0.0,72.4,82.85,-1.8,-4.05,nan,243.0,48.0,0.8,0.65,1.8,0.85,950.2,nan
2015-01-01 02:00:00,15.5,45.5,36.5,2.0,95.5,nan,nan,nan,0.0,847.2,992.15,0.0,0.0,78.55,90.75,-7.1,-5.5,-8.15,-10.2,-6.75,325.0,233.5,7.55,1.2,6.0,0.5,1004.1,0.0,0.0,73.3,82.85,-2.05,-4.0,nan,248.0,46.5,1.35,0.6,2.5,0.85,950.05,nan
2015-01-01 02:30:00,18.5,46.5,39.0,2.0,97.0,nan,nan,nan,0.0,847.4,991.95,0.0,0.0,76.3,97.6,-6.8,-5.5,-8.0,-10.3,-5.8,319.5,237.5,7.35,1.55,6.3,0.9,1003.95,0.0,0.0,73.2,76.6,-2.0,-3.25,nan,266.5,67.5,0.65,1.0,1.6,1.25,949.9,nan
2015-01-01 03:00:00,20.5,46.0,40.5,2.0,97.5,nan,nan,nan,0.0,847.25,991.5,0.0,0.0,69.1,90.7,-5.65,-5.9,-8.2,-10.4,-7.2,321.0,230.5,9.85,1.9,7.25,1.05,1003.45,0.0,0.0,74.3,74.3,-2.25,-3.1,nan,177.5,41.5,0.5,0.85,1.1,1.25,949.55,nan
2015-01-01 03:30:00,21.0,44.0,40.0,2.0,92.5,nan,nan,nan,0.0,847.1,991.1,0.0,0.0,65.85,86.05,-5.3,-5.3,-7.75,-10.7,-7.25,331.5,241.5,9.0,1.6,6.25,1.05,1003.05,0.0,0.0,73.6,68.85,-2.3,-2.5,nan,275.0,76.5,0.95,1.2,2.0,1.7,949.2,nan
2015-01-01 04:00:00,18.5,41.5,36.5,2.0,92.0,nan,nan,nan,0.0,846.7,990.45,0.0,0.0,65.1,93.6,-5.2,-5.75,-8.05,-10.7,-6.65,320.5,238.5,10.8,1.85,7.65,1.05,1002.35,0.0,0.0,73.55,67.05,-2.5,-2.25,nan,271.5,56.0,0.65,0.6,1.8,0.9,948.55,nan
2015-01-01 04:30:00,19.5,40.5,37.0,2.0,95.0,nan,nan,nan,0.0,846.6,990.0,0.0,0.0,65.4,92.5,-5.2,-6.05,-8.25,-10.65,-7.05,324.0,222.5,9.45,1.8,6.55,1.0,1001.8,0.0,0.0,74.35,66.2,-2.4,-1.5,nan,307.5,18.0,0.5,0.65,1.55,1.0,948.15,nan
2015-01-01 05:00:00,29.0,42.0,45.5,2.0,92.5,nan,nan,nan,0.0,846.35,989.55,0.0,0.0,63.5,90.25,-4.75,-5.55,-7.9,-10.6,-6.9,328.0,247.0,8.3,1.5,6.3,0.95,1001.45,0.0,0.0,73.55,62.8,-2.25,-1.15,nan,244.5,180.5,0.5,0.6,1.3,1.0,947.85,nan
2015-01-01 05:30:00,33.5,41.5,48.5,2.0,85.0,nan,nan,nan,0.0,846.5,989.5,0.0,0.0,61.15,92.0,-4.4,-5.5,-8.05,-10.75,-6.6,328.0,240.0,7.75,1.8,5.3,1.05,1001.5,0.0,0.0,72.45,66.9,-2.1,-1.55,nan,252.0,194.0,0.4,0.65,1.1,0.95,947.9,nan
2015-01-01 06:00:00,34.0,40.0,48.0,2.0,78.0,nan,nan,nan,0.0,846.4,989.45,0.0,0.0,59.6,90.2,-4.2,-5.3,-7.95,-10.9,-6.65,330.5,232.0,7.1,1.5,5.7,0.9,1001.45,0.0,0.0,73.0,61.55,-2.2,-0.85,nan,231.5,21.5,0.45,0.9,1.2,1.25,947.9,nan
2015-01-01 06:30:00,36.5,40.0,50.0,2.0,68.0,nan,nan,nan,0.0,846.55,989.85,0.0,0.0,54.1,89.3,-3.7,-5.0,-7.8,-11.65,-6.5,333.0,237.5,7.2,1.85,5.5,1.15,1001.85,0.0,0.0,72.05,64.6,-2.0,-1.35,nan,245.0,29.5,0.5,0.85,1.25,1.1,948.25,nan
2015-01-01 07:00:00,43.0,41.5,56.0,2.0,56.0,nan,nan,nan,0.0,846.9,990.25,0.0,0.0,49.8,91.4,-3.4,-5.25,-8.15,-12.4,-6.4,321.0,242.5,6.15,1.7,5.2,0.85,1002.2,0.0,0.0,71.7,65.75,-1.9,-1.65,nan,168.0,11.5,0.5,0.85,1.35,1.05,948.45,nan
2015-01-01 07:30:00,45.0,41.5,58.0,2.0,50.0,nan,nan,nan,0.0,847.2,990.55,0.0,0.0,47.15,89.9,-3.25,-5.5,-7.95,-12.9,-6.9,323.0,208.5,5.5,1.7,4.5,0.65,1002.55,0.0,0.0,72.4,64.5,-1.95,-1.6,nan,162.5,27.0,0.5,0.8,1.3,0.95,948.85,nan
2015-01-01 08:00:00,43.0,40.0,55.5,2.0,45.5,nan,nan,nan,1.0,847.45,990.8,0.0,0.0,42.3,91.7,-2.55,-6.05,-8.35,-13.65,-7.15,323.0,248.5,5.25,0.95,4.15,0.4,1002.75,0.0,0.0,71.3,66.7,-1.7,-1.7,nan,272.0,33.0,0.6,0.75,1.35,0.85,949.05,nan
2015-01-01 08:30:00,41.0,39.5,53.5,2.5,42.5,nan,nan,nan,11.0,847.75,991.1,0.0,0.0,36.95,89.2,-2.15,-5.3,-7.65,-14.9,-6.75,318.5,221.5,5.45,1.8,4.1,1.3,1003.1,0.0,0.0,72.45,63.8,-1.95,-1.55,nan,305.5,52.0,0.8,0.5,1.8,0.7,949.35,nan
